# source=kernel stair detail
# input_file=kernel-sweep-wide-count10.csv
p_header,p_value,plateau_index,start_r_px,end_r_px,start_r_norm,end_r_norm,tread_px,level_eff01,riser_to_next01,delta_tread_to_prev,tread_ratio_to_prev,log2_tread_ratio_to_prev
0_55,0.55,44,7681,7779,96.0125,97.2375,99,0.067346939,0.011224488,1,1.01020408,0.01464678
0_55,0.55,45,7780,7876,97.25,98.45,97,0.056122451,0.0112244935,-2,0.97979798,-0.02944378
0_55,0.55,46,7877,7973,98.4625,99.6625,97,0.0448979575,0.011224488,0,1,0
0_55,0.55,47,7974,8000,99.675,100,27,0.0336734695,,-70,0.27835052,-1.84502534
0_65,0.65,1,0,265,0,3.3125,266,0.65,0.0097014905,,,
0_65,0.65,2,266,665,3.325,8.3125,400,0.6402985095,0.009701497,134,1.5037594,0.58857375
0_65,0.65,3,666,1065,8.325,13.3125,400,0.6305970125,0.0097014905,0,1,0
0_65,0.65,4,1066,1464,13.325,18.3,399,0.620895522,0.0097014905,-1,0.9975,-0.00361125
0_65,0.65,5,1465,1862,18.3125,23.275,398,0.6111940315,0.009701497,-1,0.99749373,-0.00362032
0_65,0.65,6,1863,2261,23.2875,28.2625,399,0.6014925345,0.0097014905,1,1.00251256,0.00362032
0_65,0.65,7,2262,2658,28.275,33.225,397,0.591791044,0.0097014905,-2,0.99498747,-0.00724974
0_65,0.65,8,2659,3015,33.2375,37.6875,357,0.5820895535,0.009701497,-40,0.89924433,-0.15321493
0_65,0.65,9,3016,3133,37.7,39.1625,118,0.5723880565,0.0097014905,-239,0.33053221,-1.59713721
0_65,0.65,10,3134,3251,39.175,40.6375,118,0.562686566,0.0097014905,0,1,0
0_65,0.65,11,3252,3368,40.65,42.1,117,0.5529850755,0.0097014905,-1,0.99152542,-0.01227833
0_65,0.65,12,3369,3484,42.1125,43.55,116,0.543283585,0.009701497,-1,0.99145299,-0.01238372
0_65,0.65,13,3485,3600,43.5625,45,116,0.533582088,0.0097014905,0,1,0
0_65,0.65,14,3601,3715,45.0125,46.4375,115,0.5238805975,0.0097014905,-1,0.99137931,-0.01249094
0_65,0.65,15,3716,3830,46.45,47.875,115,0.514179107,0.009701497,0,1,0
0_65,0.65,16,3831,3945,47.8875,49.3125,115,0.50447761,0.0097014905,0,1,0
0_65,0.65,17,3946,4058,49.325,50.725,113,0.4947761195,0.0097014905,-2,0.9826087,-0.02531109
0_65,0.65,18,4059,4172,50.7375,52.15,114,0.485074629,0.009701497,1,1.00884956,0.01271105
0_65,0.65,19,4173,4284,52.1625,53.55,112,0.475373132,0.0097014905,-2,0.98245614,-0.02553509
0_65,0.65,20,4285,4397,53.5625,54.9625,113,0.4656716415,0.0097014905,1,1.00892857,0.01282404
0_65,0.65,21,4398,4507,54.975,56.3375,110,0.455970151,0.009701497,-3,0.97345133,-0.03881925
0_65,0.65,22,4508,4616,56.35,57.7,109,0.446268654,0.0097014905,-1,0.99090909,-0.01317539
0_65,0.65,23,4617,4721,57.7125,59.0125,105,0.4365671635,0.0097014905,-4,0.96330275,-0.05393881
0_65,0.65,24,4722,4824,59.025,60.3,103,0.426865673,0.009701497,-2,0.98095238,-0.02774499
0_65,0.65,25,4825,4925,60.3125,61.5625,101,0.417164176,0.0097014905,-2,0.98058252,-0.02828904
0_65,0.65,26,4926,5025,61.575,62.8125,100,0.4074626855,0.0097014905,-1,0.99009901,-0.01435529
0_65,0.65,27,5026,5122,62.825,64.025,97,0.397761195,0.0097014905,-3,0.97,-0.04394335
0_65,0.65,28,5123,5217,64.0375,65.2125,95,0.3880597045,0.009701497,-2,0.97938144,-0.03005723
0_65,0.65,29,5218,5311,65.225,66.3875,94,0.3783582075,0.0097014905,-1,0.98947368,-0.01526676
0_65,0.65,30,5312,5404,66.4,67.55,93,0.368656717,0.0097014905,-1,0.9893617,-0.01543004
0_65,0.65,31,5405,5495,67.5625,68.6875,91,0.3589552265,0.009701497,-2,0.97849462,-0.03136417
0_65,0.65,32,5496,5584,68.7,69.8,89,0.3492537295,0.0097014905,-2,0.97802198,-0.03206121
0_65,0.65,33,5585,5670,69.8125,70.875,86,0.339552239,0.0097014905,-3,0.96629213,-0.04946868
0_65,0.65,34,5671,5750,70.8875,71.875,80,0.3298507485,0.009701497,-6,0.93023256,-0.10433666
0_65,0.65,35,5751,5829,71.8875,72.8625,79,0.3201492515,0.0097014905,-1,0.9875,-0.01814735
0_65,0.65,36,5830,5908,72.875,73.85,79,0.310447761,0.0097014905,0,1,0
0_65,0.65,37,5909,5985,73.8625,74.8125,77,0.3007462705,0.009701497,-2,0.97468354,-0.03699421
0_65,0.65,38,5986,6062,74.825,75.775,77,0.2910447735,0.0097014905,0,1,0
0_65,0.65,39,6063,6138,75.7875,76.725,76,0.281343283,0.0097014905,-1,0.98701299,-0.01885903
0_65,0.65,40,6139,6214,76.7375,77.675,76,0.2716417925,0.009701497,0,1,0
0_65,0.65,41,6215,6289,77.6875,78.6125,75,0.2619402955,0.0097014905,-1,0.98684211,-0.01910882
0_65,0.65,42,6290,6363,78.625,79.5375,74,0.252238805,0.0097014905,-1,0.98666667,-0.01936532
0_65,0.65,43,6364,6437,79.55,80.4625,74,0.2425373145,0.0097014905,0,1,0
0_65,0.65,44,6438,6511,80.475,81.3875,74,0.232835824,0.009701497,0,1,0
0_65,0.65,45,6512,6583,81.4,82.2875,72,0.223134327,0.0097014905,-2,0.97297297,-0.03952836
0_65,0.65,46,6584,6656,82.3,83.2,73,0.2134328365,0.0097014905,1,1.01388889,0.01989956
0_65,0.65,47,6657,6727,83.2125,84.0875,71,0.203731346,0.009701497,-2,0.97260274,-0.04007744
0_65,0.65,48,6728,6799,84.1,84.9875,72,0.194029849,0.0097014905,1,1.01408451,0.02017788
0_65,0.65,49,6800,6870,85,85.875,71,0.1843283585,0.0097014905,-1,0.98611111,-0.02017788
0_65,0.65,50,6871,6940,85.8875,86.75,70,0.174626868,0.009701497,-1,0.98591549,-0.0204641
0_65,0.65,51,6941,7010,86.7625,87.625,70,0.164925371,0.0097014905,0,1,0
0_65,0.65,52,7011,7080,87.6375,88.5,70,0.1552238805,0.0097014905,0,1,0
0_65,0.65,53,7081,7149,88.5125,89.3625,69,0.14552239,0.009701497,-1,0.98571429,-0.02075856
0_65,0.65,54,7150,7218,89.375,90.225,69,0.135820893,0.0097014905,0,1,0
0_65,0.65,55,7219,7287,90.2375,91.0875,69,0.1261194025,0.0097014905,0,1,0
0_65,0.65,56,7288,7355,91.1,91.9375,68,0.116417912,0.009701497,-1,0.98550725,-0.02106162
0_65,0.65,57,7356,7423,91.95,92.7875,68,0.106716415,0.0097014905,0,1,0
0_65,0.65,58,7424,7491,92.8,93.6375,68,0.0970149245,0.0097014905,0,1,0
0_65,0.65,59,7492,7558,93.65,94.475,67,0.087313434,0.0097014905,-1,0.98529412,-0.02137365
0_65,0.65,60,7559,7625,94.4875,95.3125,67,0.0776119435,0.009701497,0,1,0
0_65,0.65,61,7626,7692,95.325,96.15,67,0.0679104465,0.0097014905,0,1,0
0_65,0.65,62,7693,7758,96.1625,96.975,66,0.058208956,0.0097014905,-1,0.98507463,-0.02169507
0_65,0.65,63,7759,7824,96.9875,97.8,66,0.0485074655,0.009701497,0,1,0
0_65,0.65,64,7825,7890,97.8125,98.625,66,0.0388059685,0.0097014905,0,1,0
0_65,0.65,65,7891,7956,98.6375,99.45,66,0.029104478,0.0097014905,0,1,0
0_65,0.65,66,7957,8000,99.4625,100,44,0.0194029875,,-22,0.66666667,-0.5849625
0_75,0.75,1,0,239,0,2.9875,240,0.75,0.00852273,,,
0_75,0.75,2,240,563,3,7.0375,324,0.74147727,0.0085227225,84,1.35,0.43295941
0_75,0.75,3,564,885,7.05,11.0625,322,0.7329545475,0.00852273,-2,0.99382716,-0.00893312
0_75,0.75,4,886,1207,11.075,15.0875,322,0.7244318175,0.00852273,0,1,0
0_75,0.75,5,1208,1527,15.1,19.0875,320,0.7159090875,0.0085227225,-2,0.99378882,-0.00898878
0_75,0.75,6,1528,1847,19.1,23.0875,320,0.707386365,0.00852273,0,1,0
0_75,0.75,7,1848,2165,23.1,27.0625,318,0.698863635,0.0085227225,-2,0.99375,-0.00904514
0_75,0.75,8,2166,2482,27.075,31.025,317,0.6903409125,0.00852273,-1,0.99685535,-0.00454393
0_75,0.75,9,2483,2798,31.0375,34.975,316,0.6818181825,0.00852273,-1,0.99684543,-0.00455828
0_75,0.75,10,2799,3032,34.9875,37.9,234,0.6732954525,0.0085227225,-82,0.74050633,-0.43341603
0_75,0.75,11,3033,3124,37.9125,39.05,92,0.66477273,0.00852273,-142,0.39316239,-1.34680276
0_75,0.75,12,3125,3215,39.0625,40.1875,91,0.65625,0.00852273,-1,0.98913043,-0.01576732
0_75,0.75,13,3216,3306,40.2,41.325,91,0.64772727,0.0085227225,0,1,0
0_75,0.75,14,3307,3396,41.3375,42.45,90,0.6392045475,0.00852273,-1,0.98901099,-0.01594154
0_75,0.75,15,3397,3486,42.4625,43.575,90,0.6306818175,0.00852273,0,1,0
