file,roi_x,roi_y,roi_w,roi_h,scale,period_px,window_w_px,period_dip,window_w_dip,win_index,win_x,alpha_nonzero_count,alpha_mean,alpha_stddev,alpha_max
pencil-highres-3000x1520-dpi96-S150-P0.25-N1-scale10-transparent.png,0,0,3000,1520,10,13,13,1.3,1.3,176,2288,19373,0.28071743,0.11686101,127
pencil-highres-3000x1520-dpi96-S150-P0.25-N1-scale10-transparent.png,0,0,3000,1520,10,13,13,1.3,1.3,177,2301,19317,0.27667738,0.11616177,127
pencil-highres-3000x1520-dpi96-S150-P0.25-N1-scale10-transparent.png,0,0,3000,1520,10,13,13,1.3,1.3,178,2314,19356,0.26860205,0.11185082,127
pencil-highres-3000x1520-dpi96-S150-P0.25-N1-scale10-transparent.png,0,0,3000,1520,10,13,13,1.3,1.3,179,2327,19263,0.26466401,0.11143218,117
pencil-highres-3000x1520-dpi96-S150-P0.25-N1-scale10-transparent.png,0,0,3000,1520,10,13,13,1.3,1.3,180,2340,19134,0.25701318,0.11108188,117
pencil-highres-3000x1520-dpi96-S150-P0.25-N1-scale10-transparent.png,0,0,3000,1520,10,13,13,1.3,1.3,181,2353,19156,0.25231821,0.11053428,113
pencil-highres-3000x1520-dpi96-S150-P0.25-N1-scale10-transparent.png,0,0,3000,1520,10,13,13,1.3,1.3,182,2366,19125,0.245825,0.10998827,117
pencil-highres-3000x1520-dpi96-S150-P0.25-N1-scale10-transparent.png,0,0,3000,1520,10,13,13,1.3,1.3,183,2379,19045,0.24011709,0.10998341,113
pencil-highres-3000x1520-dpi96-S150-P0.25-N1-scale10-transparent.png,0,0,3000,1520,10,13,13,1.3,1.3,184,2392,18947,0.23682861,0.1097689,109
pencil-highres-3000x1520-dpi96-S150-P0.25-N1-scale10-transparent.png,0,0,3000,1520,10,13,13,1.3,1.3,185,2405,18815,0.2299351,0.10971252,105
pencil-highres-3000x1520-dpi96-S150-P0.25-N1-scale10-transparent.png,0,0,3000,1520,10,13,13,1.3,1.3,186,2418,18762,0.22396166,0.10884381,105
pencil-highres-3000x1520-dpi96-S150-P0.25-N1-scale10-transparent.png,0,0,3000,1520,10,13,13,1.3,1.3,187,2431,18691,0.21909979,0.10724011,105
pencil-highres-3000x1520-dpi96-S150-P0.25-N1-scale10-transparent.png,0,0,3000,1520,10,13,13,1.3,1.3,188,2444,18619,0.21146384,0.10320738,105
pencil-highres-3000x1520-dpi96-S150-P0.25-N1-scale10-transparent.png,0,0,3000,1520,10,13,13,1.3,1.3,189,2457,18558,0.20296539,0.10054544,94
pencil-highres-3000x1520-dpi96-S150-P0.25-N1-scale10-transparent.png,0,0,3000,1520,10,13,13,1.3,1.3,190,2470,18434,0.19978368,0.10050349,94
pencil-highres-3000x1520-dpi96-S150-P0.25-N1-scale10-transparent.png,0,0,3000,1520,10,13,13,1.3,1.3,191,2483,18279,0.19414722,0.10048961,94
