# source=kernel stair detail
# input_file=kernel-sweep-wide-count20.csv
p_header,p_value,plateau_index,start_r_px,end_r_px,start_r_norm,end_r_norm,tread_px,level_eff01,riser_to_next01,delta_tread_to_prev,tread_ratio_to_prev,log2_tread_ratio_to_prev
0_55,0.55,25,5683,5797,71.0375,72.4625,115,0.280612244,0.011224488,-7,0.94262295,-0.08524729
0_55,0.55,26,5798,5910,72.475,73.875,113,0.269387756,0.011224488,-2,0.9826087,-0.02531109
0_55,0.55,27,5911,6022,73.8875,75.275,112,0.258163268,0.0112244935,-1,0.99115044,-0.01282404
0_55,0.55,28,6023,6133,75.2875,76.6625,111,0.2469387745,0.011224488,-1,0.99107143,-0.01293906
0_55,0.55,29,6134,6242,76.675,78.025,109,0.2357142865,0.011224488,-2,0.98198198,-0.02623154
0_55,0.55,30,6243,6350,78.0375,79.375,108,0.2244897985,0.0112244935,-1,0.99082569,-0.01329682
0_55,0.55,31,6351,6457,79.3875,80.7125,107,0.213265305,0.011224488,-1,0.99074074,-0.01342052
0_55,0.55,32,6458,6564,80.725,82.05,107,0.202040817,0.011224488,0,1,0
0_55,0.55,33,6565,6669,82.0625,83.3625,105,0.190816329,0.0112244935,-2,0.98130841,-0.02722147
0_55,0.55,34,6670,6773,83.375,84.6625,104,0.1795918355,0.011224488,-1,0.99047619,-0.0138058
0_55,0.55,35,6774,6877,84.675,85.9625,104,0.1683673475,0.011224488,0,1,0
0_55,0.55,36,6878,6979,85.975,87.2375,102,0.1571428595,0.0112244935,-2,0.98076923,-0.02801438
0_55,0.55,37,6980,7081,87.25,88.5125,102,0.145918366,0.011224488,0,1,0
0_55,0.55,38,7082,7183,88.525,89.7875,102,0.134693878,0.011224488,0,1,0
0_55,0.55,39,7184,7283,89.8,91.0375,100,0.12346939,0.0112244935,-2,0.98039216,-0.02856915
0_55,0.55,40,7284,7383,91.05,92.2875,100,0.1122448965,0.011224488,0,1,0
0_55,0.55,41,7384,7483,92.3,93.5375,100,0.1010204085,0.011224488,0,1,0
0_55,0.55,42,7484,7582,93.55,94.775,99,0.0897959205,0.0112244935,-1,0.99,-0.01449957
0_55,0.55,43,7583,7680,94.7875,96,98,0.078571427,0.011224488,-1,0.98989899,-0.01464678
0_55,0.55,44,7681,7779,96.0125,97.2375,99,0.067346939,0.011224488,1,1.01020408,0.01464678
0_55,0.55,45,7780,7876,97.25,98.45,97,0.056122451,0.0112244935,-2,0.97979798,-0.02944378
0_55,0.55,46,7877,7973,98.4625,99.6625,97,0.0448979575,0.011224488,0,1,0
0_55,0.55,47,7974,8000,99.675,100,27,0.0336734695,,-70,0.27835052,-1.84502534
0_6,0.6,1,0,150,0,1.875,151,0.6,0.010344828,,,
0_6,0.6,2,151,604,1.8875,7.55,454,0.589655172,0.010344828,303,3.00662252,1.58814375
0_6,0.6,3,605,1059,7.5625,13.2375,455,0.579310344,0.010344828,1,1.00220264,0.00317425
0_6,0.6,4,1060,1513,13.25,18.9125,454,0.568965516,0.010344828,-1,0.9978022,-0.00317425
0_6,0.6,5,1514,1968,18.925,24.6,455,0.558620688,0.010344828,1,1.00220264,0.00317425
0_6,0.6,6,1969,2422,24.6125,30.275,454,0.54827586,0.010344828,-1,0.9978022,-0.00317425
0_6,0.6,7,2423,2876,30.2875,35.95,454,0.537931032,0.010344828,0,1,0
0_6,0.6,8,2877,3099,35.9625,38.7375,223,0.527586204,0.010344822,-231,0.49118943,-1.02564859
0_6,0.6,9,3100,3235,38.75,40.4375,136,0.517241382,0.010344828,-87,0.60986547,-0.71343706
0_6,0.6,10,3236,3371,40.45,42.1375,136,0.506896554,0.010344828,0,1,0
0_6,0.6,11,3372,3507,42.15,43.8375,136,0.496551726,0.010344828,0,1,0
0_6,0.6,12,3508,3642,43.85,45.525,135,0.486206898,0.010344828,-1,0.99264706,-0.01064724
0_6,0.6,13,3643,3776,45.5375,47.2,134,0.47586207,0.010344828,-1,0.99259259,-0.01072641
0_6,0.6,14,3777,3910,47.2125,48.875,134,0.465517242,0.010344828,0,1,0
0_6,0.6,15,3911,4043,48.8875,50.5375,133,0.455172414,0.010344828,-1,0.99253731,-0.01080675
0_6,0.6,16,4044,4176,50.55,52.2,133,0.444827586,0.010344828,0,1,0
0_6,0.6,17,4177,4308,52.2125,53.85,132,0.434482758,0.010344828,-1,0.9924812,-0.01088832
0_6,0.6,18,4309,4440,53.8625,55.5,132,0.42413793,0.010344828,0,1,0
0_6,0.6,19,4441,4568,55.5125,57.1,128,0.413793102,0.010344828,-4,0.96969697,-0.04439412
0_6,0.6,20,4569,4693,57.1125,58.6625,125,0.403448274,0.010344828,-3,0.9765625,-0.03421572
0_6,0.6,21,4694,4815,58.675,60.1875,122,0.393103446,0.010344828,-3,0.976,-0.03504695
0_6,0.6,22,4816,4934,60.2,61.675,119,0.382758618,0.010344822,-3,0.97540984,-0.03591957
