S,P,N,center_alpha
10,0.1,4,0.1
10,0.1,5,0.12156863
10,0.1,6,0.14313725
10,0.1,7,0.16470588
10,0.1,8,0.18627451
10,0.1,9,0.20784314
10,0.1,10,0.22745098
10,0.1,15,0.31960784
10,0.1,20,0.4
10,0.1,25,0.4745098
10,0.1,50,0.71764706
10,0.1,75,0.84313725
10,0.1,100,0.92352941
10,0.25,1,0.08333333
10,0.25,2,0.15980392
10,0.25,3,0.23039216
10,0.25,4,0.29411765
10,0.25,5,0.35196078
10,0.25,6,0.40490196
10,0.25,7,0.45392157
10,0.25,8,0.49901961
10,0.25,9,0.54117647
10,0.25,10,0.57941176
10,0.25,15,0.7254902
10,0.25,20,0.82156863
10,0.25,25,0.88235294
10,0.25,50,0.97745098
10,0.25,75,0.97745098
10,0.25,100,0.97745098
10,0.5,1,0.2245098
10,0.5,2,0.39803922
10,0.5,3,0.53235294
10,0.5,4,0.6372549
10,0.5,5,0.71862745
10,0.5,6,0.78137255
10,0.5,7,0.83039216
10,0.5,8,0.86862745
10,0.5,9,0.89705882
10,0.5,10,0.92058824
10,0.5,15,0.97843137
10,0.5,20,0.99215686
10,0.5,25,0.99313725
10,0.5,50,0.99313725
10,0.5,75,0.99313725
10,0.5,100,0.99313725
10,0.65,1,0.33235294
10,0.65,2,0.55294118
10,0.65,3,0.70196078
10,0.65,4,0.8
10,0.65,5,0.86568627
10,0.65,6,0.90980392
10,0.65,7,0.93921569
10,0.65,8,0.95980392
10,0.65,9,0.97254902
10,0.65,10,0.98039216
10,0.65,15,0.99607843
10,0.65,20,0.99607843
10,0.65,25,0.99607843
10,0.65,50,0.99607843
10,0.65,75,0.99607843
10,0.65,100,0.99607843
10,0.77,1,0.42352941
10,0.77,2,0.66666667
10,0.77,3,0.80686275
10,0.77,4,0.88921569
10,0.77,5,0.93627451
10,0.77,6,0.9627451
10,0.77,7,0.97843137
10,0.77,8,0.9872549
10,0.77,9,0.99215686
10,0.77,10,0.99509804
10,0.77,15,0.99607843
10,0.77,20,0.99607843
10,0.77,25,0.99607843
10,0.77,50,0.99607843
10,0.77,75,0.99607843
10,0.77,100,0.99607843
10,0.85,1,0.48627451
10,0.85,2,0.73627451
10,0.85,3,0.86372549
10,0.85,4,0.93039216
10,0.85,5,0.96372549
10,0.85,6,0.98039216
10,0.85,7,0.98921569
10,0.85,8,0.99411765
10,0.85,9,0.99705882
10,0.85,10,0.99705882
10,0.85,15,0.99705882
10,0.85,20,0.99705882
10,0.85,25,0.99705882
10,0.85,50,0.99705882
10,0.85,75,0.99705882
10,0.85,100,0.99705882
10,1,1,0.60294118
10,1,2,0.84215686
10,1,3,0.93823529
10,1,4,0.9754902
10,1,5,0.99117647
10,1,6,0.99607843
10,1,7,0.99901961
10,1,8,1
10,1,9,1
10,1,10,1
10,1,15,1
10,1,20,1
10,1,25,1
10,1,50,1
10,1,75,1
10,1,100,1
12,0.05,1,0.00980392
12,0.05,2,0.01960784
12,0.05,3,0.02941176
12,0.05,4,0.03921569
12,0.05,5,0.04901961
12,0.05,6,0.05882353
12,0.05,7,0.06862745
12,0.05,8,0.07843137
12,0.05,9,0.08823529
12,0.05,10,0.09803922
12,0.05,15,0.14705882
12,0.05,20,0.18627451
12,0.05,25,0.2254902
12,0.05,50,0.38627451
12,0.05,75,0.49803922
12,0.05,100,0.59607843
12,0.1,1,0.02156863
12,0.1,2,0.04313725
12,0.1,3,0.06470588
12,0.1,4,0.08627451
12,0.1,5,0.10588235
12,0.1,6,0.1254902
12,0.1,7,0.14313725
12,0.1,8,0.16078431
12,0.1,9,0.17843137
12,0.1,10,0.19607843
12,0.1,15,0.27843137
12,0.1,20,0.35294118
12,0.1,25,0.41764706
12,0.1,50,0.65686275
12,0.1,75,0.79019608
12,0.1,100,0.88823529
12,0.25,1,0.07254902
12,0.25,2,0.13921569
12,0.25,3,0.20196078
12,0.25,4,0.25980392
12,0.25,5,0.31176471
12,0.25,6,0.36078431
12,0.25,7,0.40686275
12,0.25,8,0.44901961
12,0.25,9,0.49019608
12,0.25,10,0.52745098
12,0.25,15,0.67352941
12,0.25,20,0.7754902
12,0.25,25,0.84509804
12,0.25,50,0.97156863
12,0.25,75,0.9745098
12,0.25,100,0.9745098
12,0.5,1,0.20196078
12,0.5,2,0.3627451
12,0.5,3,0.49117647
12,0.5,4,0.59313725
12,0.5,5,0.6754902
12,0.5,6,0.74117647
12,0.5,7,0.79313725
12,0.5,8,0.83431373
12,0.5,9,0.86666667
12,0.5,10,0.89411765
12,0.5,15,0.96470588
12,0.5,20,0.9872549
12,0.5,25,0.99215686
12,0.5,50,0.99215686
12,0.5,75,0.99215686
12,0.5,100,0.99215686
12,0.65,1,0.30686275
12,0.65,2,0.51960784
12,0.65,3,0.66764706
12,0.65,4,0.76960784
12,0.65,5,0.84019608
12,0.65,6,0.88921569
12,0.65,7,0.92254902
12,0.65,8,0.94607843
12,0.65,9,0.96176471
12,0.65,10,0.97352941
12,0.65,15,0.99509804
12,0.65,20,0.99607843
12,0.65,25,0.99607843
12,0.65,50,0.99607843
12,0.65,75,0.99607843
12,0.65,100,0.99607843
12,0.77,1,0.40392157
12,0.77,2,0.64411765
12,0.77,3,0.7872549
12,0.77,4,0.87352941
12,0.77,5,0.9245098
12,0.77,6,0.95490196
12,0.77,7,0.97156863
12,0.77,8,0.98333333
12,0.77,9,0.99019608
12,0.77,10,0.99411765
12,0.77,15,0.99607843
12,0.77,20,0.99607843
12,0.77,25,0.99607843
12,0.77,50,0.99607843
12,0.77,75,0.99607843
12,0.77,100,0.99607843
12,0.85,1,0.47254902
12,0.85,2,0.72254902
12,0.85,3,0.85196078
12,0.85,4,0.92156863
12,0.85,5,0.95784314
12,0.85,6,0.97843137
12,0.85,7,0.98823529
12,0.85,8,0.99313725
12,0.85,9,0.99607843
12,0.85,10,0.99705882
12,0.85,15,0.99705882
12,0.85,20,0.99705882
12,0.85,25,0.99705882
12,0.85,50,0.99705882
12,0.85,75,0.99705882
12,0.85,100,0.99705882
12,1,1,0.60294118
12,1,2,0.84215686
12,1,3,0.9372549
12,1,4,0.9745098
12,1,5,0.99019608
12,1,6,0.99509804
12,1,7,0.99901961
12,1,8,1
12,1,9,1
12,1,10,1
12,1,15,1
12,1,20,1
12,1,25,1
12,1,50,1
12,1,75,1
12,1,100,1
24,0.05,1,0.00784314
24,0.05,2,0.01568627
24,0.05,3,0.02352941
