S,P,N,a_r0,a_r1,a_r2,a_r3,a_r4,a_r5,a_r6,a_r12,a_r25,a_r50,a_r75,a_r100
5,0.25,2,0.30980392,0.15686275,0.01823529,0,0,0,0,0,0,0,0,0
5,0.25,3,0.4245098,0.22205882,0.02647059,0,0,0,0,0,0,0,0,0
5,0.25,4,0.51960784,0.27941176,0.03431373,0,0,0,0,0,0,0,0,0
5,0.25,5,0.59803922,0.32941176,0.04196078,0,0,0,0,0,0,0,0,0
5,0.25,6,0.66372549,0.3745098,0.04921569,0,0,0,0,0,0,0,0,0
5,0.25,7,0.71862745,0.41519608,0.05588235,0,0,0,0,0,0,0,0,0
5,0.25,8,0.76372549,0.4504902,0.06235294,0,0,0,0,0,0,0,0,0
5,0.25,9,0.80196078,0.48186275,0.06862745,0,0,0,0,0,0,0,0,0
5,0.25,10,0.83235294,0.50931373,0.0745098,0,0,0,0,0,0,0,0,0
5,0.25,15,0.92647059,0.61715686,0.10039216,0,0,0,0,0,0,0,0,0
5,0.25,20,0.96372549,0.68921569,0.12019608,0,0,0,0,0,0,0,0,0
5,0.25,25,0.97941176,0.7377451,0.13647059,0,0,0,0,0,0,0,0,0
5,0.25,50,0.97941176,0.84754902,0.19019608,0,0,0,0,0,0,0,0,0
5,0.25,75,0.97941176,0.89068627,0.22137255,0,0,0,0,0,0,0,0,0
5,0.25,100,0.97941176,0.91519608,0.23980392,0,0,0,0,0,0,0,0,0
5,0.5,1,0.35098039,0.1872549,0.02294118,0,0,0,0,0,0,0,0,0
5,0.5,2,0.5754902,0.32598039,0.04294118,0,0,0,0,0,0,0,0,0
5,0.5,3,0.71960784,0.42990196,0.06019608,0,0,0,0,0,0,0,0,0
5,0.5,4,0.81372549,0.50931373,0.07568627,0,0,0,0,0,0,0,0,0
5,0.5,5,0.87647059,0.57107843,0.08960784,0,0,0,0,0,0,0,0,0
5,0.5,6,0.91568627,0.62058824,0.10215686,0,0,0,0,0,0,0,0,0
5,0.5,7,0.94313725,0.65980392,0.11333333,0,0,0,0,0,0,0,0,0
5,0.5,8,0.96078431,0.69313725,0.12352941,0,0,0,0,0,0,0,0,0
5,0.5,9,0.97254902,0.72156863,0.13254902,0,0,0,0,0,0,0,0,0
5,0.5,10,0.98137255,0.74460784,0.14098039,0,0,0,0,0,0,0,0,0
5,0.5,15,0.99215686,0.8245098,0.17509804,0,0,0,0,0,0,0,0,0
5,0.5,20,0.99215686,0.87058824,0.2,0,0,0,0,0,0,0,0,0
5,0.5,25,0.99215686,0.89901961,0.21803922,0,0,0,0,0,0,0,0,0
5,0.5,50,0.99215686,0.9627451,0.26941176,0,0,0,0,0,0,0,0,0
5,0.5,75,0.99215686,0.97401961,0.29117647,0,0,0,0,0,0,0,0,0
5,0.5,100,0.99215686,0.97401961,0.3027451,0,0,0,0,0,0,0,0,0
5,0.65,1,0.43333333,0.24215686,0.03215686,0,0,0,0,0,0,0,0,0
5,0.65,2,0.6754902,0.40686275,0.05901961,0,0,0,0,0,0,0,0,0
5,0.65,3,0.8127451,0.52156863,0.08196078,0,0,0,0,0,0,0,0,0
5,0.65,4,0.89117647,0.60441176,0.10117647,0,0,0,0,0,0,0,0,0
5,0.65,5,0.93431373,0.66666667,0.11803922,0,0,0,0,0,0,0,0,0
5,0.65,6,0.96078431,0.7127451,0.1327451,0,0,0,0,0,0,0,0,0
5,0.65,7,0.97647059,0.75098039,0.14588235,0,0,0,0,0,0,0,0,0
5,0.65,8,0.98627451,0.78137255,0.15745098,0,0,0,0,0,0,0,0,0
5,0.65,9,0.99117647,0.80686275,0.16803922,0,0,0,0,0,0,0,0,0
5,0.65,10,0.99411765,0.82696078,0.1772549,0,0,0,0,0,0,0,0,0
