p_header, p_value, plateau_index, start_r_px, end_r_px, start_r_norm, end_r_norm, tread_px, level_eff01, riser_to_next01, delta_tread_to_prev, tread_ratio_to_prev, log2_tread_ratio_to_prev
0_6     ,     0.6,            10,       3236,     3371,      40.45  ,    42.1375,      136, 0.506896554,     0.010344828, 0                  ,          1         , 0
0_6     ,     0.6,            11,       3372,     3507,      42.15  ,    43.8375,      136, 0.496551726,     0.010344828, 0                  ,          1         , 0
0_6     ,     0.6,            12,       3508,     3642,      43.85  ,    45.525 ,      135, 0.486206898,     0.010344828, -1                 ,          0.99264706, -0.01064724
0_6     ,     0.6,            13,       3643,     3776,      45.5375,    47.2   ,      134, 0.47586207 ,     0.010344828, -1                 ,          0.99259259, -0.01072641
0_6     ,     0.6,            14,       3777,     3910,      47.2125,    48.875 ,      134, 0.465517242,     0.010344828, 0                  ,          1         , 0
0_6     ,     0.6,            15,       3911,     4043,      48.8875,    50.5375,      133, 0.455172414,     0.010344828, -1                 ,          0.99253731, -0.01080675
0_6     ,     0.6,            16,       4044,     4176,      50.55  ,    52.2   ,      133, 0.444827586,     0.010344828, 0                  ,          1         , 0
0_6     ,     0.6,            17,       4177,     4308,      52.2125,    53.85  ,      132, 0.434482758,     0.010344828, -1                 ,          0.9924812 , -0.01088832
0_6     ,     0.6,            18,       4309,     4440,      53.8625,    55.5   ,      132, 0.42413793 ,     0.010344828, 0                  ,          1         , 0
0_6     ,     0.6,            19,       4441,     4568,      55.5125,    57.1   ,      128, 0.413793102,     0.010344828, -4                 ,          0.96969697, -0.04439412
0_6     ,     0.6,            20,       4569,     4693,      57.1125,    58.6625,      125, 0.403448274,     0.010344828, -3                 ,          0.9765625 , -0.03421572
0_6     ,     0.6,            21,       4694,     4815,      58.675 ,    60.1875,      122, 0.393103446,     0.010344828, -3                 ,          0.976     , -0.03504695
0_6     ,     0.6,            22,       4816,     4934,      60.2   ,    61.675 ,      119, 0.382758618,     0.010344822, -3                 ,          0.97540984, -0.03591957
0_6     ,     0.6,            23,       4935,     5050,      61.6875,    63.125 ,      116, 0.372413796,     0.010344828, -3                 ,          0.97478992, -0.03683677
0_6     ,     0.6,            24,       5051,     5164,      63.1375,    64.55  ,      114, 0.362068968,     0.010344828, -2                 ,          0.98275862, -0.02509098
0_6     ,     0.6,            25,       5165,     5276,      64.5625,    65.95  ,      112, 0.35172414 ,     0.010344828, -2                 ,          0.98245614, -0.02553509
0_6     ,     0.6,            26,       5277,     5385,      65.9625,    67.3125,      109, 0.341379312,     0.010344828, -3                 ,          0.97321429, -0.0391706
0_6     ,     0.6,            27,       5386,     5493,      67.325 ,    68.6625,      108, 0.331034484,     0.010344828, -1                 ,          0.99082569, -0.01329682
0_6     ,     0.6,            28,       5494,     5599,      68.675 ,    69.9875,      106, 0.320689656,     0.010344828, -2                 ,          0.98148148, -0.02696705
0_6     ,     0.6,            29,       5600,     5698,      70     ,    71.225 ,       99, 0.310344828,     0.010344828, -7                 ,          0.93396226, -0.09856383
0_6     ,     0.6,            30,       5699,     5793,      71.2375,    72.4125,       95, 0.3        ,     0.010344828, -4                 ,          0.95959596, -0.05950101
0_6     ,     0.6,            31,       5794,     5887,      72.425 ,    73.5875,       94, 0.289655172,     0.010344828, -1                 ,          0.98947368, -0.01526676
0_6     ,     0.6,            32,       5888,     5980,      73.6   ,    74.75  ,       93, 0.279310344,     0.010344828, -1                 ,          0.9893617 , -0.01543004
0_6     ,     0.6,            33,       5981,     6072,      74.7625,    75.9   ,       92, 0.268965516,     0.010344828, -1                 ,          0.98924731, -0.01559686
0_6     ,     0.6,            34,       6073,     6163,      75.9125,    77.0375,       91, 0.258620688,     0.010344828, -1                 ,          0.98913043, -0.01576732
0_6     ,     0.6,            35,       6164,     6253,      77.05  ,    78.1625,       90, 0.24827586 ,     0.010344828, -1                 ,          0.98901099, -0.01594154
